residential_area_score,name,latitude,longitude
3.49166724955679e-002,St-Germain / Hochelaga,45.5437,-73.55367
3.48325870098798e-002,"Berlioz / de l'Île des Soeurs",45.45999,-73.54395
3.47378535189307e-002,Guizot / St-Denis,45.54335,-73.63235
3.47287034534301e-002,Ball / Querbes,45.5312,-73.63215
3.45438147059839e-002,15e avenue / Dandurand,45.5548,-73.57432
3.43602050883679e-002,Ville-Marie / Ste-Catherine,45.55792,-73.52914
3.41728676287246e-002,Beaucourt / de la Côte-Ste-Catherine,45.49151,-73.63365
3.40234842991852e-002,Métro Rosemont (Rosemont / de St-Vallier),45.53133,-73.59789
3.38164043663735e-002,10e avenue / Masson,45.55032,-73.57336
3.38038117608195e-002,Molson / Beaubien,45.54969,-73.59116
3.37958689339412e-002,Boyer / Jean-Talon,45.54148,-73.61244
3.36587762511459e-002,Hutchison / Van Horne,45.52502,-73.61074
3.35606113438418e-002,Parc Outremont (Bloomfield / Elmwood),45.51831,-73.60329
3.34941179930069e-002,St-Dominique / Jean-Talon,45.53519,-73.61746
3.34734213184037e-002,Hogan / Ontario,45.53529,-73.55116
3.33468061182957e-002,Notre-Dame-de-Grâce / Décarie,45.47735,-73.61537
3.32451066192586e-002,19e avenue / St-Zotique,45.56159,-73.58564
3.32270386883942e-002,de Brébeuf / St-Grégoire,45.5341,-73.58852
3.31938761342168e-002,St-André / St-Grégoire,45.53141,-73.59175
3.31403178246362e-002,St-Urbain / Beaubien,45.52951,-73.61068
3.30903814139989e-002,Hélène-Baillargeon / St-Denis,45.52974,-73.59527
3.30324566688337e-002,de Bordeaux / Jean-Talon,45.54976,-73.60557
3.29766329113713e-002,Place du Commerce,45.46714,-73.54259
3.29512221934458e-002,LaSalle / Sénécal,45.43443,-73.58669
3.28594658812352e-002,Berri / St-Grégoire,45.5298,-73.59177
3.26198847610484e-002,Wilderton  / Van Horne,45.51004,-73.62483
3.25458630550811e-002,Boyer / Beaubien,45.53704,-73.60203
3.25113098773556e-002,Bernard / Clark,45.52697,-73.60261
3.25070017099793e-002,de St-Vallier / St-Zotique,45.53626,-73.60754
3.24185991651885e-002,de Lanaudière / Bélanger,45.54365,-73.60565
3.22102812853553e-002,Francis / Fleury,45.56395,-73.65557
3.22090599780111e-002,de Liège / Lajeunesse,45.5456,-73.63474
3.21880486827516e-002,St-Dominique / Gounod,45.53874,-73.62802
3.20051609033179e-002,Parc Plage,45.5026,-73.5275
3.19053332106462e-002,St-Dominique / Maguire,45.52518,-73.59544
3.18910923836053e-002,Paul Boutet / des Regrattiers,45.55984,-73.61545
3.18817940871878e-002,Métro Outremont (Wiseman / Van Horne),45.52027,-73.61485
3.18463954010481e-002,de la Salle / Ste-Catherine,45.54992,-73.53416
3.17958034425031e-002,Waverly / Van Horne,45.52736,-73.60772
3.17593409926039e-002,8e avenue / Beaubien,45.55322,-73.58752
3.15679097227447e-002,Square Sir-Georges-Etienne-Cartier / Ste-Émilie,45.47267,-73.58539
3.14178862855128e-002,St-Dominique / Bernard,45.52794,-73.60122
3.14172555676261e-002,Joliette / Ste-Catherine,45.54287,-73.53822
3.13785458978813e-002,Louis-Hébert / St-Zotique,45.55001,-73.59576
3.12934585592242e-002,de Repentigny / Sherbrooke,45.58077,-73.54477
3.12667712953193e-002,"d'Outremont / Ogilvy",45.52684,-73.62667
3.11501349068671e-002,Valois / Ontario,45.54716,-73.54377
3.10095539632605e-002,de Gaspé / Fairmount,45.52567,-73.59302
3.10084895737219e-002,Gascon / de Rouen,45.53513,-73.55486
3.08674653316406e-002,26e avenue / Beaubien,45.56495,-73.57764
3.06799705745984e-002,Pierre-de-Coubertin / Aird,45.55902,-73.54848
3.05561378948617e-002,4e avenue / Masson,45.54698,-73.57552
3.0411921549184e-002,Métro Jolicoeur (Drake / de Sève),45.4565,-73.58215
3.03504935929899e-002,Maguire / Henri-Julien,45.52704,-73.59347
3.0277477082314e-002,1ère avenue / Rosemont,45.548,-73.58523
3.02608145957754e-002,Boyer / Bélanger,45.54006,-73.60897
3.01947158393269e-002,Hudson / de Kent,45.50597,-73.62959
3.01824823312915e-002,Louis Hémon / Rosemont,45.5446,-73.58823
3.00929815932895e-002,6e avenue / Rosemont,45.55053,-73.58298
3.00861534303221e-002,Métro Préfontaine (Moreau / Hochelaga),45.54144,-73.55431
2.97852919987789e-002,Marché Jean-Talon (Henri-Julien / Jean-Talon),45.53679,-73.61489
2.97602289934762e-002,Palm / St-Remi,45.4703,-73.58985
2.96754197700012e-002,St-Dominique / St-Viateur,45.52654,-73.59824
2.96445246712652e-002,Angus (Molson / William-Tremblay),45.54173,-73.56549
2.96192593230023e-002,Clark / St-Viateur,45.52517,-73.5993
2.95806159087082e-002,Briand / le Caron,45.46236,-73.59665
2.95355500065338e-002,Hutchison / Edouard Charles,45.51826,-73.59577
2.95249775689337e-002,Aylwin / Ontario,45.54431,-73.54555
2.94185279497009e-002,Chambord / Beaubien,45.53993,-73.59934
2.93100646024724e-002,9e avenue / Dandurand,45.55077,-73.57711
2.92859631792771e-002,du Mont-Royal / Augustin-Frigon,45.54376,-73.56772
2.92730296899637e-002,"de l'Église / de Verdun",45.463,-73.57157
2.92220924315644e-002,St-Zotique / 39e avenue,45.57354,-73.57492
2.91265722786928e-002,"Métro Acadie (de l'Acadie / Beaumont)",45.52357,-73.62344
2.90932723438981e-002,Berri / Gilford,45.52657,-73.58543
2.90189058937755e-002,"de l'Esplanade / Fairmount",45.5215,-73.59676
2.88955503951495e-002,Parthenais / St-Joseph,45.53854,-73.57613
2.88299056889253e-002,Dézéry / Ontario,45.54111,-73.54755
2.87347672115313e-002,10e Avenue / Rosemont,45.55265,-73.58118
2.87173728394646e-002,Hutchison / Fairmount,45.5195,-73.59853
2.86114435020779e-002,"de l'Esplanade / Laurier",45.52111,-73.59478
2.85926147752451e-002,Métro St-Michel (Shaughnessy / St-Michel),45.5592,-73.59966
2.8580281790229e-002,Marquette / Jean-Talon,45.54741,-73.60767
2.85328223401174e-002,Clark / Laurier,45.52258,-73.59359
2.84553311593501e-002,"Logan / d'Iberville",45.53057,-73.54913
2.84296148844008e-002,Complexe sportif Claude-Robillard (Émile-Journault),45.55326,-73.63862
2.84276886821504e-002,Côte St-Antoine / Clarke,45.48645,-73.59524
2.8290427091155e-002,Dandurand / de Lorimier,45.54088,-73.58416
0.0282457093332,Poupart / Ontario,45.53194,-73.55344
2.80235368751273e-002,Chambord / Jean-Talon,45.54485,-73.61053
2.80082229130825e-002,Collège Édouard-Montpetit,45.53723,-73.49506
2.79393055013841e-002,1ère avenue / Masson,45.5452,-73.57645
2.7880979179363e-002,de Brébeuf / Laurier,45.53248,-73.58507
2.78505405860868e-002,16e avenue / Beaubien,45.55846,-73.58343
2.77655354711507e-002,Drolet / Beaubien,45.53335,-73.60583
2.77324210598972e-002,de Marseille / Viau,45.56392,-73.54891
2.77266495807849e-002,Ste-Catherine / Dézéry,45.53929,-73.54103
2.77133472227265e-002,Darling / Sherbrooke,45.54546,-73.55667
2.75703006036508e-002,Laporte / St-Antoine,45.48051,-73.58661
2.74327004739306e-002,Hillside / Ste-Catherine,45.48283,-73.59084
2.74029805860619e-002,Gascon / Rachel,45.53796,-73.56264
2.7402398703643e-002,Parc Père-Marquette (Chambord / Rosemont),45.53703,-73.59316
2.73939934693227e-002,"d'Orléans / Masson",45.55719,-73.56985
2.73913544413407e-002,12e avenue / St-Zotique,45.5569,-73.58925
2.73093014825763e-002,3e avenue / Dandurand,45.54736,-73.57922
